dates,Direct NI,Diffuse NI,Reflected,Global NI,Direct Horiz,Diffus Horiz,Global Horiz,Top of atmosphere
2005-01-02 10:00:00,1056,131,19,1206,902,114,1016,1207
2005-01-02 11:00:00,1076,122,12,1210,986,112,1099,1295
2005-01-02 12:00:00,1066,126,12,1204,977,117,1093,1295
2005-01-02 13:00:00,1032,141,19,1191,882,123,1004,1207
2005-01-02 14:00:00,1002,143,29,1173,737,111,847,1038
2005-01-02 15:00:00,796,173,32,1001,456,121,577,798
2005-01-02 16:00:00,654,142,26,822,236,80,316,505
2005-01-02 17:00:00,231,58,8,297,41,34,76,178
2005-01-02 18:00:00,0,3,0,3,0,1,1,0
2005-01-02 19:00:00,0,0,0,0,0,0,0,0
2005-01-02 20:00:00,0,0,0,0,0,0,0,0
2005-01-02 21:00:00,0,0,0,0,0,0,0,0
2005-01-02 22:00:00,0,0,0,0,0,0,0,0
2005-01-02 23:00:00,0,0,0,0,0,0,0,0
2005-01-03 00:00:00,0,0,0,0,0,0,0,0
2005-01-03 01:00:00,0,0,0,0,0,0,0,0
2005-01-03 02:00:00,0,0,0,0,0,0,0,0
2005-01-03 03:00:00,0,0,0,0,0,0,0,0
2005-01-03 04:00:00,0,0,0,0,0,0,0,0
2005-01-03 05:00:00,0,1,0,1,0,1,1,0
2005-01-03 06:00:00,169,52,7,227,30,36,67,178
2005-01-03 07:00:00,644,137,26,807,239,78,317,505
2005-01-03 08:00:00,861,163,33,1057,488,109,597,799
2005-01-03 09:00:00,961,158,28,1147,707,123,830,1038
2005-01-03 10:00:00,1026,143,19,1188,878,125,1003,1208
2005-01-03 11:00:00,1074,123,12,1208,985,113,1098,1296
2005-01-03 12:00:00,1073,123,12,1208,984,114,1098,1296
2005-01-03 13:00:00,1068,126,19,1213,913,109,1022,1208
2005-01-03 14:00:00,974,152,29,1155,718,119,837,1038
2005-01-03 15:00:00,841,164,33,1038,481,112,592,799
2005-01-03 16:00:00,681,140,26,847,245,77,322,505
2005-01-03 17:00:00,258,60,9,326,46,33,79,178
2005-01-03 18:00:00,0,3,0,3,0,1,1,0
2005-01-03 19:00:00,0,0,0,0,0,0,0,0
2005-01-03 20:00:00,0,0,0,0,0,0,0,0
2005-01-03 21:00:00,0,0,0,0,0,0,0,0
2005-01-03 22:00:00,0,0,0,0,0,0,0,0
2005-01-03 23:00:00,0,0,0,0,0,0,0,0
2005-01-04 00:00:00,0,0,0,0,0,0,0,0
2005-01-04 01:00:00,0,0,0,0,0,0,0,0
2005-01-04 02:00:00,0,0,0,0,0,0,0,0
2005-01-04 03:00:00,0,0,0,0,0,0,0,0
2005-01-04 04:00:00,0,0,0,0,0,0,0,0
2005-01-04 05:00:00,0,1,0,1,0,1,1,0
2005-01-04 06:00:00,172,52,7,232,31,36,67,178
2005-01-04 07:00:00,632,139,25,797,234,80,314,505
2005-01-04 08:00:00,827,169,33,1029,472,116,588,799
2005-01-04 09:00:00,942,165,28,1134,693,130,823,1039
2005-01-04 10:00:00,959,171,18,1148,819,151,970,1209
2005-01-04 11:00:00,802,237,10,1049,736,224,960,1296
2005-01-04 12:00:00,710,264,10,983,653,254,907,1296
2005-01-04 13:00:00,332,341,12,685,279,339,618,1209
2005-01-04 14:00:00,843,196,26,1065,624,159,782,1039
2005-01-04 15:00:00,766,187,32,985,431,132,564,799
2005-01-04 16:00:00,547,142,24,714,205,89,294,505
2005-01-04 17:00:00,138,47,7,191,25,37,62,178
2005-01-04 18:00:00,0,2,0,2,0,1,1,0
2005-01-04 19:00:00,0,0,0,0,0,0,0,0
2005-01-04 20:00:00,0,0,0,0,0,0,0,0
2005-01-04 21:00:00,0,0,0,0,0,0,0,0
2005-01-04 22:00:00,0,0,0,0,0,0,0,0
2005-01-04 23:00:00,0,0,0,0,0,0,0,0
2005-01-05 00:00:00,0,0,0,0,0,0,0,0
2005-01-05 01:00:00,0,0,0,0,0,0,0,0
2005-01-05 02:00:00,0,0,0,0,0,0,0,0
2005-01-05 03:00:00,0,0,0,0,0,0,0,0
2005-01-05 04:00:00,0,0,0,0,0,0,0,0
2005-01-05 05:00:00,0,0,0,0,0,0,0,0
2005-01-05 06:00:00,69,34,5,109,12,36,49,178
2005-01-05 07:00:00,412,124,21,557,163,95,258,506
2005-01-05 08:00:00,752,188,31,971,421,136,557,800
2005-01-05 09:00:00,873,187,27,1087,644,150,794,1040
2005-01-05 10:00:00,1040,137,19,1196,891,120,1011,1210
2005-01-05 11:00:00,1002,155,11,1168,920,144,1064,1297
2005-01-05 12:00:00,973,167,11,1151,893,156,1049,1297
2005-01-05 13:00:00,968,167,18,1152,829,147,976,1210
2005-01-05 14:00:00,659,240,23,923,493,210,702,1040
2005-01-05 15:00:00,742,188,31,961,421,136,557,800
2005-01-05 16:00:00,448,133,22,602,174,94,269,506
2005-01-05 17:00:00,91,39,6,135,16,37,53,178
2005-01-05 18:00:00,0,1,0,1,0,0,0,0
2005-01-05 19:00:00,0,0,0,0,0,0,0,0
2005-01-05 20:00:00,0,0,0,0,0,0,0,0
2005-01-05 21:00:00,0,0,0,0,0,0,0,0
2005-01-05 22:00:00,0,0,0,0,0,0,0,0
2005-01-05 23:00:00,0,0,0,0,0,0,0,0
2005-01-06 00:00:00,0,0,0,0,0,0,0,0
2005-01-06 01:00:00,0,0,0,0,0,0,0,0
2005-01-06 02:00:00,0,0,0,0,0,0,0,0
2005-01-06 03:00:00,0,0,0,0,0,0,0,0
2005-01-06 04:00:00,0,0,0,0,0,0,0,0
2005-01-06 05:00:00,0,1,0,1,0,1,1,0
2005-01-06 06:00:00,147,49,7,202,26,37,63,178
2005-01-06 07:00:00,581,142,24,748,216,86,302,506
2005-01-06 08:00:00,850,165,33,1048,485,111,596,800
2005-01-06 09:00:00,975,153,28,1156,719,119,838,1041
2005-01-06 10:00:00,1045,135,19,1199,896,118,1014,1210
2005-01-06 11:00:00,1053,132,12,1197,968,122,1090,1298
2005-01-06 12:00:00,966,167,11,1144,889,156,1045,1298
2005-01-06 13:00:00,641,283,15,940,545,264,809,1210
2005-01-06 14:00:00,823,202,26,1051,610,165,775,1041
2005-01-06 15:00:00,805,178,32,1015,455,123,579,800
2005-01-06 16:00:00,709,135,27,870,259,72,331,506
2005-01-06 17:00:00,254,59,9,322,46,33,79,178
2005-01-06 18:00:00,0,3,0,3,0,1,1,0
2005-01-06 19:00:00,0,0,0,0,0,0,0,0
2005-01-06 20:00:00,0,0,0,0,0,0,0,0
2005-01-06 21:00:00,0,0,0,0,0,0,0,0
2005-01-06 22:00:00,0,0,0,0,0,0,0,0
2005-01-06 23:00:00,0,0,0,0,0,0,0,0
2005-01-07 00:00:00,0,0,0,0,0,0,0,0
2005-01-07 01:00:00,0,0,0,0,0,0,0,0
2005-01-07 02:00:00,0,0,0,0,0,0,0,0
2005-01-07 03:00:00,0,0,0,0,0,0,0,0
2005-01-07 04:00:00,0,0,0,0,0,0,0,0
2005-01-07 05:00:00,0,1,0,1,0,1,1,0
2005-01-07 06:00:00,172,52,7,231,31,36,67,178
2005-01-07 07:00:00,262,124,17,403,98,111,209,506
2005-01-07 08:00:00,801,178,32,1011,454,124,578,801
2005-01-07 09:00:00,877,182,27,1086,651,148,799,1041
2005-01-07 10:00:00,548,290,14,852,462,278,740,1211
2005-01-07 11:00:00,377,317,7,701,350,319,669,1300
2005-01-07 12:00:00,1019,147,11,1177,937,137,1074,1300
2005-01-07 13:00:00,594,289,14,897,509,274,783,1211
2005-01-07 14:00:00,613,239,22,873,462,217,679,1041
2005-01-07 15:00:00,730,194,31,955,412,140,553,801
2005-01-07 16:00:00,649,144,26,819,234,82,316,506
2005-01-07 17:00:00,281,61,9,350,50,32,82,178
2005-01-07 18:00:00,0,4,0,4,0,1,1,0
2005-01-07 19:00:00,0,0,0,0,0,0,0,0
2005-01-07 20:00:00,0,0,0,0,0,0,0,0
2005-01-07 21:00:00,0,0,0,0,0,0,0,0
2005-01-07 22:00:00,0,0,0,0,0,0,0,0
2005-01-07 23:00:00,0,0,0,0,0,0,0,0
2005-01-08 00:00:00,0,0,0,0,0,0,0,0
2005-01-08 01:00:00,0,0,0,0,0,0,0,0
2005-01-08 02:00:00,0,0,0,0,0,0,0,0
2005-01-08 03:00:00,0,0,0,0,0,0,0,0
2005-01-08 04:00:00,0,0,0,0,0,0,0,0
2005-01-08 05:00:00,0,1,0,1,0,1,1,0
2005-01-08 06:00:00,142,48,7,197,25,37,63,178
2005-01-08 07:00:00,344,139,19,502,129,110,239,507
2005-01-08 08:00:00,816,171,32,1019,468,118,586,802
2005-01-08 09:00:00,807,209,26,1042,591,173,764,1042
2005-01-08 10:00:00,769,238,16,1023,663,217,881,1213
2005-01-08 11:00:00,760,253,10,1022,700,240,940,1301
2005-01-08 12:00:00,925,188,11,1123,851,176,1027,1301
2005-01-08 13:00:00,583,290,14,888,503,276,779,1213
2005-01-08 14:00:00,459,266,20,744,349,253,602,1042
2005-01-08 15:00:00,409,227,24,660,224,201,425,802
2005-01-08 16:00:00,599,149,25,773,214,90,303,507
2005-01-08 17:00:00,274,60,9,343,49,33,82,178
2005-01-08 18:00:00,0,4,0,4,0,1,1,0
2005-01-08 19:00:00,0,0,0,0,0,0,0,0
2005-01-08 20:00:00,0,0,0,0,0,0,0,0
2005-01-08 21:00:00,0,0,0,0,0,0,0,0
2005-01-08 22:00:00,0,0,0,0,0,0,0,0
2005-01-08 23:00:00,0,0,0,0,0,0,0,0
2005-01-09 00:00:00,0,0,0,0,0,0,0,0
2005-01-09 01:00:00,0,0,0,0,0,0,0,0
2005-01-09 02:00:00,0,0,0,0,0,0,0,0
2005-01-09 03:00:00,0,0,0,0,0,0,0,0
2005-01-09 04:00:00,0,0,0,0,0,0,0,0
2005-01-09 05:00:00,0,1,0,1,0,1,1,0
2005-01-09 06:00:00,167,52,7,226,30,37,67,178
2005-01-09 07:00:00,602,143,25,770,223,85,308,507
2005-01-09 08:00:00,842,168,33,1042,481,114,594,802
2005-01-09 09:00:00,955,160,28,1143,706,126,832,1043
2005-01-09 10:00:00,1020,146,18,1184,877,128,1004,1214
2005-01-09 11:00:00,1046,135,11,1192,964,125,1089,1302
2005-01-09 12:00:00,730,260,9,999,675,249,923,1302
2005-01-09 13:00:00,828,218,17,1062,708,198,906,1214
2005-01-09 14:00:00,555,270,22,847,414,243,657,1043
2005-01-09 15:00:00,285,214,21,520,170,210,380,802
2005-01-09 16:00:00,335,133,18,486,112,110,222,507
2005-01-09 17:00:00,110,43,6,158,20,37,57,178
2005-01-09 18:00:00,0,2,0,2,0,0,1,0
2005-01-09 19:00:00,0,0,0,0,0,0,0,0
2005-01-09 20:00:00,0,0,0,0,0,0,0,0
2005-01-09 21:00:00,0,0,0,0,0,0,0,0
2005-01-09 22:00:00,0,0,0,0,0,0,0,0
2005-01-09 23:00:00,0,0,0,0,0,0,0,0
2005-01-10 00:00:00,0,0,0,0,0,0,0,0
2005-01-10 01:00:00,0,0,0,0,0,0,0,0
2005-01-10 02:00:00,0,0,0,0,0,0,0,0
2005-01-10 03:00:00,0,0,0,0,0,0,0,0
2005-01-10 04:00:00,0,0,0,0,0,0,0,0
2005-01-10 05:00:00,0,1,0,1,0,1,1,0
2005-01-10 06:00:00,171,52,7,230,31,37,67,178
2005-01-10 07:00:00,603,142,25,770,224,84,309,508
2005-01-10 08:00:00,847,167,33,1047,483,113,596,803
2005-01-10 09:00:00,572,274,22,868,420,243,663,1044
2005-01-10 10:00:00,746,242,15,1003,647,223,871,1215
2005-01-10 11:00:00,932,185,10,1127,859,173,1033,1303
2005-01-10 12:00:00,696,280,9,985,642,267,909,1303
2005-01-10 13:00:00,322,350,11,683,280,349,629,1215
2005-01-10 14:00:00,331,306,18,655,245,298,543,1044
2005-01-10 15:00:00,273,228,21,522,156,222,378,803
2005-01-10 16:00:00,208,123,16,347,76,118,194,508
2005-01-10 17:00:00,116,44,6,166,21,37,58,178
2005-01-10 18:00:00,0,2,0,2,0,1,1,0
2005-01-10 19:00:00,0,0,0,0,0,0,0,0
2005-01-10 20:00:00,0,0,0,0,0,0,0,0
2005-01-10 21:00:00,0,0,0,0,0,0,0,0
2005-01-10 22:00:00,0,0,0,0,0,0,0,0
2005-01-10 23:00:00,0,0,0,0,0,0,0,0
2005-01-11 00:00:00,0,0,0,0,0,0,0,0
2005-01-11 01:00:00,0,0,0,0,0,0,0,0
2005-01-11 02:00:00,0,0,0,0,0,0,0,0
2005-01-11 03:00:00,0,0,0,0,0,0,0,0
2005-01-11 04:00:00,0,0,0,0,0,0,0,0
2005-01-11 05:00:00,0,1,0,1,0,1,1,0
2005-01-11 06:00:00,121,45,6,171,22,37,59,178
2005-01-11 07:00:00,675,135,26,836,250,75,326,508
2005-01-11 08:00:00,537,217,27,780,295,181,476,804
2005-01-11 09:00:00,459,284,20,763,344,266,610,1045
2005-01-11 10:00:00,427,338,13,778,364,328,692,1216
2005-01-11 11:00:00,638,296,9,943,589,286,875,1304
2005-01-11 12:00:00,630,302,9,941,581,291,872,1304
2005-01-11 13:00:00,811,228,16,1056,697,206,903,1216
2005-01-11 14:00:00,557,274,22,853,415,245,660,1045
2005-01-11 15:00:00,710,196,30,936,396,147,543,804
2005-01-11 16:00:00,719,135,27,881,263,72,335,508
2005-01-11 17:00:00,271,60,9,340,49,33,81,178
2005-01-11 18:00:00,0,4,0,4,0,1,1,0
2005-01-11 19:00:00,0,0,0,0,0,0,0,0
2005-01-11 20:00:00,0,0,0,0,0,0,0,0
2005-01-11 21:00:00,0,0,0,0,0,0,0,0
2005-01-11 22:00:00,0,0,0,0,0,0,0,0
2005-01-11 23:00:00,0,0,0,0,0,0,0,0
2005-01-12 00:00:00,0,0,0,0,0,0,0,0
2005-01-12 01:00:00,0,0,0,0,0,0,0,0
2005-01-12 02:00:00,0,0,0,0,0,0,0,0
2005-01-12 03:00:00,0,0,0,0,0,0,0,0
2005-01-12 04:00:00,0,0,0,0,0,0,0,0
2005-01-12 05:00:00,0,0,0,0,0,0,0,0
2005-01-12 06:00:00,49,29,5,83,8,35,43,179
2005-01-12 07:00:00,139,100,13,253,56,108,164,509
2005-01-12 08:00:00,829,171,33,1033,474,118,592,805
2005-01-12 09:00:00,752,226,25,1004,556,190,745,1046
2005-01-12 10:00:00,266,348,11,625,225,348,573,1217
2005-01-12 11:00:00,373,370,7,749,346,367,712,1306
2005-01-12 12:00:00,319,384,7,709,296,383,679,1306
2005-01-12 13:00:00,82,322,7,412,71,339,410,1217
2005-01-12 14:00:00,151,288,14,453,110,305,415,1046
2005-01-12 15:00:00,563,217,27,807,311,176,487,805
2005-01-12 16:00:00,373,132,20,525,147,103,250,509
2005-01-12 17:00:00,101,41,6,148,18,37,55,179
2005-01-12 18:00:00,0,2,0,2,0,0,0,0
2005-01-12 19:00:00,0,0,0,0,0,0,0,0
2005-01-12 20:00:00,0,0,0,0,0,0,0,0
2005-01-12 21:00:00,0,0,0,0,0,0,0,0
2005-01-12 22:00:00,0,0,0,0,0,0,0,0
2005-01-12 23:00:00,0,0,0,0,0,0,0,0
2005-01-13 00:00:00,0,0,0,0,0,0,0,0
2005-01-13 01:00:00,0,0,0,0,0,0,0,0
2005-01-13 02:00:00,0,0,0,0,0,0,0,0
2005-01-13 03:00:00,0,0,0,0,0,0,0,0
2005-01-13 04:00:00,0,0,0,0,0,0,0,0
2005-01-13 05:00:00,0,0,0,0,0,0,0,0
2005-01-13 06:00:00,94,40,6,139,17,37,54,179
2005-01-13 07:00:00,304,139,19,462,113,116,229,509
2005-01-13 08:00:00,529,219,27,774,308,180,488,805
2005-01-13 09:00:00,867,191,27,1085,643,154,797,1047
2005-01-13 10:00:00,472,326,13,811,402,314,716,1218
2005-01-13 11:00:00,146,392,5,544,135,399,535,1307
2005-01-13 12:00:00,63,338,4,404,58,348,406,1307
2005-01-13 13:00:00,148,353,9,510,127,364,491,1218
2005-01-13 14:00:00,229,304,16,549,170,310,481,1047
2005-01-13 15:00:00,185,215,18,419,105,226,331,805
2005-01-13 16:00:00,170,115,15,299,65,118,182,509
2005-01-13 17:00:00,38,26,4,68,7,33,40,179
2005-01-13 18:00:00,0,0,0,0,0,0,0,0
2005-01-13 19:00:00,0,0,0,0,0,0,0,0
2005-01-13 20:00:00,0,0,0,0,0,0,0,0
2005-01-13 21:00:00,0,0,0,0,0,0,0,0
2005-01-13 22:00:00,0,0,0,0,0,0,0,0
2005-01-13 23:00:00,0,0,0,0,0,0,0,0
2005-01-14 00:00:00,0,0,0,0,0,0,0,0
2005-01-14 01:00:00,0,0,0,0,0,0,0,0
2005-01-14 02:00:00,0,0,0,0,0,0,0,0
2005-01-14 03:00:00,0,0,0,0,0,0,0,0
2005-01-14 04:00:00,0,0,0,0,0,0,0,0
2005-01-14 05:00:00,0,0,0,0,0,0,0,0
2005-01-14 06:00:00,29,23,4,56,5,31,36,179
2005-01-14 07:00:00,70,82,10,162,24,101,125,510
2005-01-14 08:00:00,287,219,21,527,169,213,382,806
2005-01-14 09:00:00,519,279,21,819,388,254,642,1048
2005-01-14 10:00:00,186,358,9,553,159,365,524,1220
2005-01-14 11:00:00,134,389,5,528,124,396,520,1308
2005-01-14 12:00:00,262,390,6,658,242,391,633,1308
2005-01-14 13:00:00,547,315,14,875,472,298,769,1220
2005-01-14 14:00:00,446,297,20,763,332,276,608,1048
2005-01-14 15:00:00,422,233,24,680,242,203,445,806
2005-01-14 16:00:00,351,143,20,513,132,112,243,510
2005-01-14 17:00:00,136,47,7,190,24,37,62,179
2005-01-14 18:00:00,0,2,0,2,0,1,1,0
2005-01-14 19:00:00,0,0,0,0,0,0,0,0
2005-01-14 20:00:00,0,0,0,0,0,0,0,0
2005-01-14 21:00:00,0,0,0,0,0,0,0,0
2005-01-14 22:00:00,0,0,0,0,0,0,0,0
2005-01-14 23:00:00,0,0,0,0,0,0,0,0
2005-01-15 00:00:00,0,0,0,0,0,0,0,0
2005-01-15 01:00:00,0,0,0,0,0,0,0,0
2005-01-15 02:00:00,0,0,0,0,0,0,0,0
2005-01-15 03:00:00,0,0,0,0,0,0,0,0
2005-01-15 04:00:00,0,0,0,0,0,0,0,0
2005-01-15 05:00:00,0,0,0,0,0,0,0,0
2005-01-15 06:00:00,102,41,6,149,18,38,56,179
2005-01-15 07:00:00,306,139,18,463,109,116,225,510
2005-01-15 08:00:00,209,218,19,446,122,225,347,807
2005-01-15 09:00:00,382,304,19,705,284,290,574,1049
2005-01-15 10:00:00,652,279,14,945,567,261,827,1221
2005-01-15 11:00:00,713,274,9,996,661,262,923,1310
2005-01-15 12:00:00,882,206,10,1098,818,195,1013,1310
2005-01-15 13:00:00,890,197,17,1104,771,177,948,1221
2005-01-15 14:00:00,870,189,27,1086,644,155,799,1049
2005-01-15 15:00:00,890,154,34,1077,513,103,615,807
2005-01-15 16:00:00,745,132,28,904,272,69,341,510
2005-01-15 17:00:00,264,60,9,333,48,33,81,179
2005-01-15 18:00:00,0,4,0,4,0,1,1,0
2005-01-15 19:00:00,0,0,0,0,0,0,0,0
2005-01-15 20:00:00,0,0,0,0,0,0,0,0
2005-01-15 21:00:00,0,0,0,0,0,0,0,0
2005-01-15 22:00:00,0,0,0,0,0,0,0,0
2005-01-15 23:00:00,0,0,0,0,0,0,0,0
2005-01-16 00:00:00,0,0,0,0,0,0,0,0
2005-01-16 01:00:00,0,0,0,0,0,0,0,0
2005-01-16 02:00:00,0,0,0,0,0,0,0,0
2005-01-16 03:00:00,0,0,0,0,0,0,0,0
2005-01-16 04:00:00,0,0,0,0,0,0,0,0
2005-01-16 05:00:00,0,1,0,1,0,1,1,0
2005-01-16 06:00:00,231,58,8,297,42,35,76,179
2005-01-16 07:00:00,677,140,26,844,249,78,327,511
2005-01-16 08:00:00,701,202,30,933,400,148,548,808
2005-01-16 09:00:00,912,176,27,1115,679,141,820,1051
2005-01-16 10:00:00,715,261,15,991,615,241,857,1222
2005-01-16 11:00:00,497,334,7,838,464,329,793,1311
2005-01-16 12:00:00,806,232,9,1047,750,222,972,1311
2005-01-16 13:00:00,466,334,13,813,405,322,728,1222
2005-01-16 14:00:00,897,180,27,1104,665,146,811,1051
2005-01-16 15:00:00,567,191,27,784,340,160,501,808
2005-01-16 16:00:00,518,147,23,687,178,100,278,511
2005-01-16 17:00:00,259,60,9,327,47,33,80,179
2005-01-16 18:00:00,0,4,0,4,0,1,1,0
2005-01-16 19:00:00,0,0,0,0,0,0,0,0
2005-01-16 20:00:00,0,0,0,0,0,0,0,0
2005-01-16 21:00:00,0,0,0,0,0,0,0,0
2005-01-16 22:00:00,0,0,0,0,0,0,0,0
2005-01-16 23:00:00,0,0,0,0,0,0,0,0
2005-01-17 00:00:00,0,0,0,0,0,0,0,0
2005-01-17 01:00:00,0,0,0,0,0,0,0,0
2005-01-17 02:00:00,0,0,0,0,0,0,0,0
2005-01-17 03:00:00,0,0,0,0,0,0,0,0
2005-01-17 04:00:00,0,0,0,0,0,0,0,0
2005-01-17 05:00:00,0,1,0,1,0,1,1,0
2005-01-17 06:00:00,194,55,8,256,35,36,71,179
2005-01-17 07:00:00,667,137,26,830,249,77,326,511
2005-01-17 08:00:00,926,145,34,1106,532,96,628,809
2005-01-17 09:00:00,1001,143,28,1173,747,112,860,1052
2005-01-17 10:00:00,1065,127,18,1209,923,112,1034,1224
2005-01-17 11:00:00,1041,137,10,1187,967,128,1096,1312
2005-01-17 12:00:00,915,192,9,1116,851,181,1032,1312
2005-01-17 13:00:00,592,295,13,900,517,280,797,1224
2005-01-17 14:00:00,526,283,21,829,389,256,645,1052
2005-01-17 15:00:00,500,226,26,752,289,188,477,809
2005-01-17 16:00:00,423,136,21,580,166,99,265,511
2005-01-17 17:00:00,44,28,5,76,8,34,42,179
2005-01-17 18:00:00,0,0,0,0,0,0,0,0
2005-01-17 19:00:00,0,0,0,0,0,0,0,0
2005-01-17 20:00:00,0,0,0,0,0,0,0,0
2005-01-17 21:00:00,0,0,0,0,0,0,0,0
2005-01-17 22:00:00,0,0,0,0,0,0,0,0
2005-01-17 23:00:00,0,0,0,0,0,0,0,0
2005-01-18 00:00:00,0,0,0,0,0,0,0,0
2005-01-18 01:00:00,0,0,0,0,0,0,0,0
2005-01-18 02:00:00,0,0,0,0,0,0,0,0
2005-01-18 03:00:00,0,0,0,0,0,0,0,0
2005-01-18 04:00:00,0,0,0,0,0,0,0,0
2005-01-18 05:00:00,0,1,0,1,0,1,1,0
2005-01-18 06:00:00,224,58,8,290,41,35,75,179
2005-01-18 07:00:00,600,148,25,773,220,89,308,512
2005-01-18 08:00:00,864,164,33,1061,496,111,607,810
2005-01-18 09:00:00,1022,135,28,1186,764,106,870,1053
2005-01-18 10:00:00,1072,124,18,1213,930,109,1039,1225
2005-01-18 11:00:00,977,165,10,1152,909,156,1065,1314
2005-01-18 12:00:00,930,186,9,1125,865,175,1041,1314
2005-01-18 13:00:00,951,174,17,1141,826,155,981,1225
2005-01-18 14:00:00,834,202,26,1062,623,165,788,1053
2005-01-18 15:00:00,827,174,33,1034,474,120,594,810
2005-01-18 16:00:00,677,141,26,844,249,78,327,512
2005-01-18 17:00:00,249,59,9,316,45,34,79,179
2005-01-18 18:00:00,0,4,0,4,0,1,1,0
2005-01-18 19:00:00,0,0,0,0,0,0,0,0
2005-01-18 20:00:00,0,0,0,0,0,0,0,0
2005-01-18 21:00:00,0,0,0,0,0,0,0,0
2005-01-18 22:00:00,0,0,0,0,0,0,0,0
2005-01-18 23:00:00,0,0,0,0,0,0,0,0
2005-01-19 00:00:00,0,0,0,0,0,0,0,0
2005-01-19 01:00:00,0,0,0,0,0,0,0,0
2005-01-19 02:00:00,0,0,0,0,0,0,0,0
2005-01-19 03:00:00,0,0,0,0,0,0,0,0
2005-01-19 04:00:00,0,0,0,0,0,0,0,0
2005-01-19 05:00:00,0,1,0,1,0,1,1,0
2005-01-19 06:00:00,242,59,8,309,44,34,78,180
2005-01-19 07:00:00,730,134,28,892,269,71,340,512
2005-01-19 08:00:00,888,156,34,1077,513,104,617,811
2005-01-19 09:00:00,1024,135,28,1187,766,106,872,1054
2005-01-19 10:00:00,1074,122,18,1214,934,108,1042,1226
2005-01-19 11:00:00,1058,129,10,1196,986,121,1107,1315
2005-01-19 12:00:00,994,158,10,1161,926,148,1074,1315
2005-01-19 13:00:00,909,187,16,1112,793,168,962,1226
2005-01-19 14:00:00,189,280,14,483,143,292,436,1054
2005-01-19 15:00:00,402,217,23,643,238,195,433,811
2005-01-19 16:00:00,152,97,13,261,48,105,152,512
2005-01-19 17:00:00,259,60,9,327,47,33,80,180
2005-01-19 18:00:00,0,4,0,4,0,1,1,0
2005-01-19 19:00:00,0,0,0,0,0,0,0,0
2005-01-19 20:00:00,0,0,0,0,0,0,0,0
2005-01-19 21:00:00,0,0,0,0,0,0,0,0
2005-01-19 22:00:00,0,0,0,0,0,0,0,0
2005-01-19 23:00:00,0,0,0,0,0,0,0,0
2005-01-20 00:00:00,0,0,0,0,0,0,0,0
2005-01-20 01:00:00,0,0,0,0,0,0,0,0
2005-01-20 02:00:00,0,0,0,0,0,0,0,0
2005-01-20 03:00:00,0,0,0,0,0,0,0,0
2005-01-20 04:00:00,0,0,0,0,0,0,0,0
2005-01-20 05:00:00,0,1,0,1,0,1,1,0
2005-01-20 06:00:00,261,60,9,329,47,33,81,180
2005-01-20 07:00:00,713,138,27,878,262,74,336,513
2005-01-20 08:00:00,856,165,33,1053,495,112,607,811
2005-01-20 09:00:00,979,152,28,1159,732,121,852,1055
2005-01-20 10:00:00,910,191,16,1117,791,172,962,1228
2005-01-20 11:00:00,802,239,8,1049,749,228,977,1317
2005-01-20 12:00:00,840,224,9,1072,784,213,997,1317
