dates,Direct NI,Diffuse NI,Reflected,Global NI,Direct Horiz,Diffus Horiz,Global Horiz,Top of atmosphere
2005-01-01 00:00:00,0,0,0,0,0,0,0,0
2005-01-01 01:00:00,0,0,0,0,0,0,0,0
2005-01-01 02:00:00,0,0,0,0,0,0,0,0
2005-01-01 03:00:00,0,0,0,0,0,0,0,0
2005-01-01 04:00:00,0,0,0,0,0,0,0,0
2005-01-01 05:00:00,0,1,0,1,0,1,1,0
2005-01-01 06:00:00,195,55,8,257,35,36,70,177
2005-01-01 07:00:00,566,143,24,734,209,88,297,504
2005-01-01 08:00:00,860,163,33,1056,487,109,596,798
2005-01-01 09:00:00,853,194,27,1073,627,156,784,1037
2005-01-01 10:00:00,637,281,16,934,539,263,802,1206
2005-01-01 11:00:00,967,169,11,1147,886,157,1043,1294
2005-01-01 12:00:00,857,216,11,1084,785,203,987,1294
2005-01-01 13:00:00,992,157,19,1168,846,138,984,1206
2005-01-01 14:00:00,861,188,27,1076,637,152,789,1037
2005-01-01 15:00:00,611,215,28,855,344,165,509,798
2005-01-01 16:00:00,696,137,27,860,252,74,326,504
2005-01-01 17:00:00,255,59,9,322,45,33,79,177
2005-01-01 18:00:00,0,3,0,3,0,1,1,0
2005-01-01 19:00:00,0,0,0,0,0,0,0,0
2005-01-01 20:00:00,0,0,0,0,0,0,0,0
2005-01-01 21:00:00,0,0,0,0,0,0,0,0
2005-01-01 22:00:00,0,0,0,0,0,0,0,0
2005-01-01 23:00:00,0,0,0,0,0,0,0,0
2005-01-02 00:00:00,0,0,0,0,0,0,0,0
2005-01-02 01:00:00,0,0,0,0,0,0,0,0
2005-01-02 02:00:00,0,0,0,0,0,0,0,0
2005-01-02 03:00:00,0,0,0,0,0,0,0,0
2005-01-02 04:00:00,0,0,0,0,0,0,0,0
2005-01-02 05:00:00,0,1,0,1,0,1,1,0
2005-01-02 06:00:00,236,58,8,303,42,34,76,178
2005-01-02 07:00:00,733,131,27,891,267,69,335,505
2005-01-02 08:00:00,903,150,34,1087,513,99,612,798
2005-01-02 09:00:00,1010,140,29,1179,743,108,851,1038
